CollectionCode_x	HMS_x	CollectionCode_y	HMS_y	StructuredFormula_x	StructureType_x	StructuredFormula_y	StructureType_y	Authors_x	CellParameter_x	CellVolume_x	FormulaWeight_x	Temperature_x	PublicationYear_x	Quality_x	A1	A1_frac	A2	A2_frac	B1	B1_frac	B2	B2_frac	O_x	O_frac_x	a_x	b_x	c_x	alpha_x	beta_x	gamma_x	SpaceGroupNum_x	CrystalClass_x	atom_numA1_x	atom_numA2_x	atom_numB1_x	atom_numB2_x	atom_numO_x	mend_numA1_x	mend_numA2_x	mend_numB1_x	mend_numB2_x	mend_numO_x	atomic_rA1_x	atomic_rA2_x	atomic_rB1_x	atomic_rB2_x	atomic_rO_x	A1_X_x	A2_X_x	B1_X_x	B2_X_x	O_X_x	M_A1_x	M_A2_x	M_B1_x	M_B2_x	M_O_x	V_A1_x	V_A2_x	V_B1_x	V_B2_x	V_O_x	therm_con_A1_x	therm_con_A2_x	therm_con_B1_x	therm_con_B2_x	therm_con_O_x	polarizability_A1_x	polarizability_A2_x	polarizability_B1_x	polarizability_B2_x	polarizability_O_x	lattice_const_A1_x	lattice_const_A2_x	lattice_const_B1_x	lattice_const_B2_x	lattice_const_O_x	Row_A1_x	Row_A2_x	Row_B1_x	Row_B2_x	Row_O_x	Group_A1_x	Group_A2_x	Group_B1_x	Group_B2_x	Group_O_x	nA_x	nB_x	nO_x	rA_avg_x	rB_avg_x	rO_x	rA/rB_x	rA/rO_x	rB/rO_x	rA-rB_x	Goldschmidt_TF_x	SISSO_1_x	SISSO_2_x	SISSO_3_x	SISSO_4_x	SISSO_5_x	SISSO_6_x	SISSO_7_x	SISSO_8_x	SISSO_9_x	SISSO_10_x	is_perovskite_x					Authors_y	CellParameter_y	CellVolume_y	FormulaWeight_y	Temperature_y	PublicationYear_y	Quality_y	O_y	O_frac_y	a_y	b_y	c_y	alpha_y	beta_y	gamma_y	SpaceGroupNum_y	CrystalClass_y	atom_numA1_y	atom_numA2_y	atom_numB1_y	atom_numB2_y	atom_numO_y	mend_numA1_y	mend_numA2_y	mend_numB1_y	mend_numB2_y	mend_numO_y	atomic_rA1_y	atomic_rA2_y	atomic_rB1_y	atomic_rB2_y	atomic_rO_y	A1_X_y	A2_X_y	B1_X_y	B2_X_y	O_X_y	M_A1_y	M_A2_y	M_B1_y	M_B2_y	M_O_y	V_A1_y	V_A2_y	V_B1_y	V_B2_y	V_O_y	therm_con_A1_y	therm_con_A2_y	therm_con_B1_y	therm_con_B2_y	therm_con_O_y	polarizability_A1_y	polarizability_A2_y	polarizability_B1_y	polarizability_B2_y	polarizability_O_y	lattice_const_A1_y	lattice_const_A2_y	lattice_const_B1_y	lattice_const_B2_y	lattice_const_O_y	Row_A1_y	Row_A2_y	Row_B1_y	Row_B2_y	Row_O_y	Group_A1_y	Group_A2_y	Group_B1_y	Group_B2_y	Group_O_y	nA_y	nB_y	nO_y	rA_avg_y	rB_avg_y	rO_y	rA/rB_y	rA/rO_y	rB/rO_y	rA-rB_y	Goldschmidt_TF_y	SISSO_1_y	SISSO_2_y	SISSO_3_y	SISSO_4_y	SISSO_5_y	SISSO_6_y	SISSO_7_y	SISSO_8_y	SISSO_9_y	SISSO_10_y	is_perovskite_y
90487	P m -3 m	90488	P 4 m m	Pb((FeTa)O6)0.5	(Mg0.33Nb0.67)PbO3	Pb((FeTa)O6)0.5	Perovskite#PbTiO3#BaTiO3	Lampis, N.; Sciau, P.; Geddo Lehmann, A.	4.0097(1) 4.0097(1) 4.0097(1) 90 90 90	64.47	373.587	350	2000	10	Pb	1	_	0	Fe	0.5	Ta	0.5	O	3	4.0097	4.0097	4.0097	90	90	90	221	cubic	82	0	26	73	8	82	0	61	52	101	1.8	0	1.4	1.45	0.6	2.33	0	1.83	1.5	3.44	207.2	0	55.845	180.94788	15.9994	18.26	0	7.09	10.85	17.36	35	0	80	57	0.02658	47	0	62	74	5.3	4.95	0	2.87	3.31	6.83	6	0	4	6	2	14	0	8	5	16	2	4	-2	1.33	0.735	1.26	1.8095238095	1.0555555556	0.5833333333	0.595	0.9179982773	54.338	33.94	7.3	0.0001001146	40.11	51.7854761905	52.1084744678	53.98544973	-0.5952163937	1.2267189315	0					Lampis, N.; Sciau, P.; Geddo Lehmann, A.	4.0069(2) 4.0069(2) 4.0087(2) 90 90 90	64.36	373.587	230	2000		O	3	4.0069	4.0069	4.0087	90	90	90	99	tetragonal	82	0	26	73	8	82	0	61	52	101	1.8	0	1.4	1.45	0.6	2.33	0	1.83	1.5	3.44	207.2	0	55.845	180.94788	15.9994	18.26	0	7.09	10.85	17.36	35	0	80	57	0.02658	47	0	62	74	5.3	4.95	0	2.87	3.31	6.83	6	0	4	6	2	14	0	8	5	16	2	4	-2	1.33	0.735	1.26	1.8095238095	1.0555555556	0.5833333333	0.595	0.9179982773	54.338	33.94	7.3	0.0001001146	40.11	51.7854761905	52.1084744678	53.98544973	-0.5952163937	1.2267189315	1
90487	P m -3 m	43789	P m -3 m	Pb((FeTa)O6)0.5	(Mg0.33Nb0.67)PbO3	Pb(FeTaO6)0.5	Perovskite#CaTiO3	Lampis, N.; Sciau, P.; Geddo Lehmann, A.	4.0097(1) 4.0097(1) 4.0097(1) 90 90 90	64.47	373.587	350	2000	10	Pb	1	_	0	Fe	0.5	Ta	0.5	O	3	4.0097	4.0097	4.0097	90	90	90	221	cubic	82	0	26	73	8	82	0	61	52	101	1.8	0	1.4	1.45	0.6	2.33	0	1.83	1.5	3.44	207.2	0	55.845	180.94788	15.9994	18.26	0	7.09	10.85	17.36	35	0	80	57	0.02658	47	0	62	74	5.3	4.95	0	2.87	3.31	6.83	6	0	4	6	2	14	0	8	5	16	2	4	-2	1.33	0.735	1.26	1.8095238095	1.0555555556	0.5833333333	0.595	0.9179982773	54.338	33.94	7.3	0.0001001146	40.11	51.7854761905	52.1084744678	53.98544973	-0.5952163937	1.2267189315	0					Agranovskaya, A.I.	4.01 4.01 4.01 90 90 90	64.48	373.587	293	1960		O	3	4.01	4.01	4.01	90	90	90	221	cubic	82	0	26	73	8	82	0	61	52	101	1.8	0	1.4	1.45	0.6	2.33	0	1.83	1.5	3.44	207.2	0	55.845	180.94788	15.9994	18.26	0	7.09	10.85	17.36	35	0	80	57	0.02658	47	0	62	74	5.3	4.95	0	2.87	3.31	6.83	6	0	4	6	2	14	0	8	5	16	2	4	-2	1.33	0.735	1.26	1.8095238095	1.0555555556	0.5833333333	0.595	0.9179982773	54.338	33.94	7.3	0.0001001146	40.11	51.7854761905	52.1084744678	53.98544973	-0.5952163937	1.2267189315	1
280369	R 3 m H	280370	P m -3 m	Pb(Hf0.8Ti0.2)O3	Pb(Hf,Ti)O3	Pb(Hf0.8Ti0.2)O3	Perovskite#CaTiO3	Muller, C.; Baudour, J.L.; Bedoya, C.; Bouree, F.; Soubeyroux, J.L.; Roubin, M.	5.8025(2) 5.8025(2) 14.2648(4) 90 90 120	415.94	407.559	440	2000	10	Pb	1	_	0	Hf	0.8	Ti	0.2	O	3	5.8025	5.8025	14.2648	90	90	120	160	trigonal	82	0	72	22	8	82	0	50	51	101	1.8	0	1.55	1.4	0.6	2.33	0	1.3	1.54	3.44	207.2	0	178.49	47.867	15.9994	18.26	0	13.44	10.64	17.36	35	0	23	22	0.02658	47	0	103	100	5.3	4.95	0	3.2	2.95	6.83	6	0	6	4	2	14	0	4	4	16	2	4	-2	1.33	0.829	1.26	1.6043425814	1.0555555556	0.6579365079	0.501	0.8766905521	95.868	78.94	6.77	3.66361486339432E-05	81.64	51.8966574186	52.2723479706	53.9997837642	-0.6275032486	1.1155377034	0					Muller, C.; Baudour, J.L.; Bedoya, C.; Bouree, F.; Soubeyroux, J.L.; Roubin, M.	4.1072(1) 4.1072(1) 4.1072(1) 90 90 90	69.28	407.559	520	2000		O	3	4.1072	4.1072	4.1072	90	90	90	221	cubic	82	0	72	22	8	82	0	50	51	101	1.8	0	1.55	1.4	0.6	2.33	0	1.3	1.54	3.44	207.2	0	178.49	47.867	15.9994	18.26	0	13.44	10.64	17.36	35	0	23	22	0.02658	47	0	103	100	5.3	4.95	0	3.2	2.95	6.83	6	0	6	4	2	14	0	4	4	16	2	4	-2	1.33	0.829	1.26	1.6043425814	1.0555555556	0.6579365079	0.501	0.8766905521	95.868	78.94	6.77	3.66361486339432E-05	81.64	51.8966574186	52.2723479706	53.9997837642	-0.6275032486	1.1155377034	1
246730	I 4/m	418992	F m -3 m	Sr2Li(ReO6)	Sr2NiWO6	Sr2Li(ReO6)	Elpasolite#K2NaAlF6#Ba2CaWO6	Macquart, R.B.; Zhou Qing Di; Kennedy, B.J.	5.55033(4) 5.55033(4) 7.92269(7) 90 90 90	244.07	464.373	303	2009	-1	Sr	1	_	0	Li	0.5	Re	0.5	O	3	5.55033	5.55033	7.92269	90	90	90	87	tetragonal	38	0	3	75	8	15	0	12	58	101	2	0	1.45	1.35	0.6	0.95	0	0.98	1.9	3.44	87.62	0	6.941	186.207	15.9994	33.94	0	13.02	8.86	17.36	35	0	85	48	0.02658	197.2	0	164.1125	62	5.3	6.08	0	3.49	2.76	6.83	5	0	2	6	2	2	0	1	7	16	2	4	-2	1.32	0.785	1.26	1.6815286624	1.0476190476	0.623015873	0.535	0.8920955968	155.1325	127.1725	6.97	0.0136296296	127.1925	201.0534713376	201.4105669344	203.192712991	-0.56111555	1.2131953291	0					Bharathy, M.; zur Loye, H.C.	7.9071(15) 7.9071(15) 7.9071(15) 9 9 9	494.37	464.373	298	2008		O	3	7.9071	7.9071	7.9071	9	9	9	225	cubic	38	0	3	75	8	15	0	12	58	101	2	0	1.45	1.35	0.6	0.95	0	0.98	1.9	3.44	87.62	0	6.941	186.207	15.9994	33.94	0	13.02	8.86	17.36	35	0	85	48	0.02658	197.2	0	164.1125	62	5.3	6.08	0	3.49	2.76	6.83	5	0	2	6	2	2	0	1	7	16	2	4	-2	1.32	0.785	1.26	1.6815286624	1.0476190476	0.623015873	0.535	0.8920955968	155.1325	127.1725	6.97	0.0136296296	127.1925	201.0534713376	201.4105669344	203.192712991	-0.56111555	1.2131953291	1
151759	R 3 c H	238986	C m c m	(Li0.12Na0.88)(NbO3)	LiNbO3	(Li0.12Na0.88)NbO3	Perovskite#NaNbO3(Cmcm)	Yuzyuk, Yu.I.; Gagarina, E.; Simon, P.; Reznitchenko, L.A.; Hennet, L.; Thiaudiere, D.	5.47398(7) 5.47398(7) 13.7313(1) 90 90 120	356.33	161.9709	293	2004		Li	0.12	Na	0.88	Nb	1	_	0	O	3	5.47398	5.47398	13.7313	90	90	120	161	trigonal	3	11	41	0	8	12	11	53	0	101	1.45	1.8	1.45	0	0.6	0.98	0.93	1.6	0	3.44	6.941	22.98976928	92.90638	0	15.9994	13.02	23.78	10.83	0	17.36	85	140	54	0	0.02658	164.1125	162.7	98	0	5.3	3.49	4.23	3.3	0	6.83	2	3	5	0	2	1	1	5	0	16	1	5	-2	1.1288	0.78	1.26	1.4471794872	0.8958730159	0.619047619	0.3488	0.8280081759	93.351375	78.53	2.83	0.0008391204	81.93	165.0141205128	165.4933286888	167.105212991	-0.5930109165	1.1817128205	0					Mishra, S.K.; Krishna, P.S.R.; Shinde, A.B.; Jayakrishnan, V.B.; Mittal, R.; Sastry, P.U.; Chaplot, S.L.	7.8651(2) 7.8478(3) 7.8524(3) 90 90 90	484.68	161.9709	873	2015		O	3	7.8651	7.8478	7.8524	90	90	90	63	orthorhombic	3	11	41	0	8	12	11	53	0	101	1.45	1.8	1.45	0	0.6	0.98	0.93	1.6	0	3.44	6.941	22.98976928	92.90638	0	15.9994	13.02	23.78	10.83	0	17.36	85	140	54	0	0.02658	164.1125	162.7	98	0	5.3	3.49	4.23	3.3	0	6.83	2	3	5	0	2	1	1	5	0	16	1	5	-2	1.1288	0.78	1.26	1.4471794872	0.8958730159	0.619047619	0.3488	0.8280081759	93.351375	78.53	2.83	0.0008391204	81.93	165.0141205128	165.4933286888	167.105212991	-0.5930109165	1.1817128205	1
238985	R 3 c H	238986	C m c m	(Li0.12Na0.88)NbO3	LiNbO3	(Li0.12Na0.88)NbO3	Perovskite#NaNbO3(Cmcm)	Mishra, S.K.; Krishna, P.S.R.; Shinde, A.B.; Jayakrishnan, V.B.; Mittal, R.; Sastry, P.U.; Chaplot, S.L.	5.4691(1) 5.4691(1) 13.7194(3) 90 90 120	355.38	161.9709	293	2015		Li	0.12	Na	0.88	Nb	1	_	0	O	3	5.4691	5.4691	13.7194	90	90	120	161	trigonal	3	11	41	0	8	12	11	53	0	101	1.45	1.8	1.45	0	0.6	0.98	0.93	1.6	0	3.44	6.941	22.98976928	92.90638	0	15.9994	13.02	23.78	10.83	0	17.36	85	140	54	0	0.02658	164.1125	162.7	98	0	5.3	3.49	4.23	3.3	0	6.83	2	3	5	0	2	1	1	5	0	16	1	5	-2	1.1288	0.78	1.26	1.4471794872	0.8958730159	0.619047619	0.3488	0.8280081759	93.351375	78.53	2.83	0.0008391204	81.93	165.0141205128	165.4933286888	167.105212991	-0.5930109165	1.1817128205	0					Mishra, S.K.; Krishna, P.S.R.; Shinde, A.B.; Jayakrishnan, V.B.; Mittal, R.; Sastry, P.U.; Chaplot, S.L.	7.8651(2) 7.8478(3) 7.8524(3) 90 90 90	484.68	161.9709	873	2015		O	3	7.8651	7.8478	7.8524	90	90	90	63	orthorhombic	3	11	41	0	8	12	11	53	0	101	1.45	1.8	1.45	0	0.6	0.98	0.93	1.6	0	3.44	6.941	22.98976928	92.90638	0	15.9994	13.02	23.78	10.83	0	17.36	85	140	54	0	0.02658	164.1125	162.7	98	0	5.3	3.49	4.23	3.3	0	6.83	2	3	5	0	2	1	1	5	0	16	1	5	-2	1.1288	0.78	1.26	1.4471794872	0.8958730159	0.619047619	0.3488	0.8280081759	93.351375	78.53	2.83	0.0008391204	81.93	165.0141205128	165.4933286888	167.105212991	-0.5930109165	1.1817128205	1
154040	R 3 c H	280381	P 4 b m	(Na0.5Bi0.5)(TiO3)	LiNbO3	(Na0.5Bi0.5)(TiO3)	Perovskite#NaBi(TiO3)2	Ranjan, R.; Dviwedi, A.	5.4991(1) 5.4991(1) 13.5625(6) 90 90 120	355.18	211.882	293	2005		Na	0.5	Bi	0.5	Ti	1	_	0	O	3	5.4991	5.4991	13.5625	90	90	120	161	trigonal	11	83	22	0	8	11	87	51	0	101	1.8	1.6	1.4	0	0.6	0.93	2.02	1.54	0	3.44	22.98976928	208.9804	47.867	0	15.9994	23.78	21.31	10.64	0	17.36	140	8	22	0	0.02658	162.7	48	100	0	5.3	4.23	4.75	2.95	0	6.83	3	6	4	0	2	1	15	4	0	16	2	4	-2	1.165	0.745	1.26	1.5637583893	0.9246031746	0.5912698413	0.42	0.8552288999	92.628	70.42	4.19	0.0013523666	72.88	164.5562416107	164.9914705107	166.68544973	-0.5651366804	1.2346674802	0					Jones, G.O.; Thomas, P.A.	5.5191(1) 5.5191(1) 3.9085(5) 90 90 90	119.05	211.882	698	2000		O	3	5.5191	5.5191	3.9085	90	90	90	100	tetragonal	11	83	22	0	8	11	87	51	0	101	1.8	1.6	1.4	0	0.6	0.93	2.02	1.54	0	3.44	22.98976928	208.9804	47.867	0	15.9994	23.78	21.31	10.64	0	17.36	140	8	22	0	0.02658	162.7	48	100	0	5.3	4.23	4.75	2.95	0	6.83	3	6	4	0	2	1	15	4	0	16	2	4	-2	1.165	0.745	1.26	1.5637583893	0.9246031746	0.5912698413	0.42	0.8552288999	92.628	70.42	4.19	0.0013523666	72.88	164.5562416107	164.9914705107	166.68544973	-0.5651366804	1.2346674802	1
154040	R 3 c H	43769	P m -3 m	(Na0.5Bi0.5)(TiO3)	LiNbO3	(Na0.5Bi0.5)TiO3	Perovskite#CaTiO3	Ranjan, R.; Dviwedi, A.	5.4991(1) 5.4991(1) 13.5625(6) 90 90 120	355.18	211.882	293	2005		Na	0.5	Bi	0.5	Ti	1	_	0	O	3	5.4991	5.4991	13.5625	90	90	120	161	trigonal	11	83	22	0	8	11	87	51	0	101	1.8	1.6	1.4	0	0.6	0.93	2.02	1.54	0	3.44	22.98976928	208.9804	47.867	0	15.9994	23.78	21.31	10.64	0	17.36	140	8	22	0	0.02658	162.7	48	100	0	5.3	4.23	4.75	2.95	0	6.83	3	6	4	0	2	1	15	4	0	16	2	4	-2	1.165	0.745	1.26	1.5637583893	0.9246031746	0.5912698413	0.42	0.8552288999	92.628	70.42	4.19	0.0013523666	72.88	164.5562416107	164.9914705107	166.68544973	-0.5651366804	1.2346674802	0					Agranovskaya, A.I.	3.89 3.89 3.89 90 90 90	58.86	211.882	293	1960		O	3	3.89	3.89	3.89	90	90	90	221	cubic	11	83	22	0	8	11	87	51	0	101	1.8	1.6	1.4	0	0.6	0.93	2.02	1.54	0	3.44	22.98976928	208.9804	47.867	0	15.9994	23.78	21.31	10.64	0	17.36	140	8	22	0	0.02658	162.7	48	100	0	5.3	4.23	4.75	2.95	0	6.83	3	6	4	0	2	1	15	4	0	16	2	4	-2	1.165	0.745	1.26	1.5637583893	0.9246031746	0.5912698413	0.42	0.8552288999	92.628	70.42	4.19	0.0013523666	72.88	164.5562416107	164.9914705107	166.68544973	-0.5651366804	1.2346674802	1
291526	R 3 c H	280381	P 4 b m	(Na0.5Bi0.5)TiO3	LiNbO3	(Na0.5Bi0.5)(TiO3)	Perovskite#NaBi(TiO3)2	Yoneda, Yasuhiro; Nagata, Hajime; Takenaka, Tadashi	5.4636(2) 5.4636(2) 13.4977(5) 90 90 120	348.94	211.882	293	2015		Na	0.5	Bi	0.5	Ti	1	_	0	O	3	5.4636	5.4636	13.4977	90	90	120	161	trigonal	11	83	22	0	8	11	87	51	0	101	1.8	1.6	1.4	0	0.6	0.93	2.02	1.54	0	3.44	22.98976928	208.9804	47.867	0	15.9994	23.78	21.31	10.64	0	17.36	140	8	22	0	0.02658	162.7	48	100	0	5.3	4.23	4.75	2.95	0	6.83	3	6	4	0	2	1	15	4	0	16	2	4	-2	1.165	0.745	1.26	1.5637583893	0.9246031746	0.5912698413	0.42	0.8552288999	92.628	70.42	4.19	0.0013523666	72.88	164.5562416107	164.9914705107	166.68544973	-0.5651366804	1.2346674802	0					Jones, G.O.; Thomas, P.A.	5.5191(1) 5.5191(1) 3.9085(5) 90 90 90	119.05	211.882	698	2000		O	3	5.5191	5.5191	3.9085	90	90	90	100	tetragonal	11	83	22	0	8	11	87	51	0	101	1.8	1.6	1.4	0	0.6	0.93	2.02	1.54	0	3.44	22.98976928	208.9804	47.867	0	15.9994	23.78	21.31	10.64	0	17.36	140	8	22	0	0.02658	162.7	48	100	0	5.3	4.23	4.75	2.95	0	6.83	3	6	4	0	2	1	15	4	0	16	2	4	-2	1.165	0.745	1.26	1.5637583893	0.9246031746	0.5912698413	0.42	0.8552288999	92.628	70.42	4.19	0.0013523666	72.88	164.5562416107	164.9914705107	166.68544973	-0.5651366804	1.2346674802	1
291526	R 3 c H	43769	P m -3 m	(Na0.5Bi0.5)TiO3	LiNbO3	(Na0.5Bi0.5)TiO3	Perovskite#CaTiO3	Yoneda, Yasuhiro; Nagata, Hajime; Takenaka, Tadashi	5.4636(2) 5.4636(2) 13.4977(5) 90 90 120	348.94	211.882	293	2015		Na	0.5	Bi	0.5	Ti	1	_	0	O	3	5.4636	5.4636	13.4977	90	90	120	161	trigonal	11	83	22	0	8	11	87	51	0	101	1.8	1.6	1.4	0	0.6	0.93	2.02	1.54	0	3.44	22.98976928	208.9804	47.867	0	15.9994	23.78	21.31	10.64	0	17.36	140	8	22	0	0.02658	162.7	48	100	0	5.3	4.23	4.75	2.95	0	6.83	3	6	4	0	2	1	15	4	0	16	2	4	-2	1.165	0.745	1.26	1.5637583893	0.9246031746	0.5912698413	0.42	0.8552288999	92.628	70.42	4.19	0.0013523666	72.88	164.5562416107	164.9914705107	166.68544973	-0.5651366804	1.2346674802	0					Agranovskaya, A.I.	3.89 3.89 3.89 90 90 90	58.86	211.882	293	1960		O	3	3.89	3.89	3.89	90	90	90	221	cubic	11	83	22	0	8	11	87	51	0	101	1.8	1.6	1.4	0	0.6	0.93	2.02	1.54	0	3.44	22.98976928	208.9804	47.867	0	15.9994	23.78	21.31	10.64	0	17.36	140	8	22	0	0.02658	162.7	48	100	0	5.3	4.23	4.75	2.95	0	6.83	3	6	4	0	2	1	15	4	0	16	2	4	-2	1.165	0.745	1.26	1.5637583893	0.9246031746	0.5912698413	0.42	0.8552288999	92.628	70.42	4.19	0.0013523666	72.88	164.5562416107	164.9914705107	166.68544973	-0.5651366804	1.2346674802	1
20786	R 3 c H	280381	P 4 b m	(NaBi)(TiO3)2	LiNbO3	(Na0.5Bi0.5)(TiO3)	Perovskite#NaBi(TiO3)2	Vakhrushev, S.B.; Ivanitskii, B.G.; Kvyatkovskii, B.E.; Maistrenko, A.N.; Malysheva, R.S.; Okuneva, N.M.; Parfenov, N.N.	5.514 5.514 13.51 90 90 120	355.73	423.764	293	1983		Na	0.5	Bi	0.5	Ti	1	_	0	O	3	5.514	5.514	13.51	90	90	120	161	trigonal	11	83	22	0	8	11	87	51	0	101	1.8	1.6	1.4	0	0.6	0.93	2.02	1.54	0	3.44	22.98976928	208.9804	47.867	0	15.9994	23.78	21.31	10.64	0	17.36	140	8	22	0	0.02658	162.7	48	100	0	5.3	4.23	4.75	2.95	0	6.83	3	6	4	0	2	1	15	4	0	16	2	4	-2	1.165	0.745	1.26	1.5637583893	0.9246031746	0.5912698413	0.42	0.8552288999	92.628	70.42	4.19	0.0013523666	72.88	164.5562416107	164.9914705107	166.68544973	-0.5651366804	1.2346674802	0					Jones, G.O.; Thomas, P.A.	5.5191(1) 5.5191(1) 3.9085(5) 90 90 90	119.05	211.882	698	2000		O	3	5.5191	5.5191	3.9085	90	90	90	100	tetragonal	11	83	22	0	8	11	87	51	0	101	1.8	1.6	1.4	0	0.6	0.93	2.02	1.54	0	3.44	22.98976928	208.9804	47.867	0	15.9994	23.78	21.31	10.64	0	17.36	140	8	22	0	0.02658	162.7	48	100	0	5.3	4.23	4.75	2.95	0	6.83	3	6	4	0	2	1	15	4	0	16	2	4	-2	1.165	0.745	1.26	1.5637583893	0.9246031746	0.5912698413	0.42	0.8552288999	92.628	70.42	4.19	0.0013523666	72.88	164.5562416107	164.9914705107	166.68544973	-0.5651366804	1.2346674802	1
